 updated model
   28.28450       28.28450       28.28450    
          40   1.571407       7.089598       1.296996    
          40  -2.772675      0.6990932     -0.9425275    
          40   7.850035       12.60537      0.7221678    
          40   9.141071     -0.1194714       3.653059    
          40   2.019415       9.576373       13.07858    
          40   5.421621      -9.379768       8.781980    
          40   13.93464      -10.25826       10.63488    
          40  -11.95187      -1.073641      -10.32563    
          40 -0.5324494      -1.117673       7.618846    
          40  -6.746654      -4.381215      -12.99158    
          40   4.050470       7.290716       10.90042    
          40   7.102832       7.870173      -2.437498    
          40  -3.660946       4.198279      0.7853705    
          40   12.41749      -4.277270       5.863118    
          40  -4.928162       1.202576      -3.326076    
          40   4.497370      0.2180509     -0.6032380    
          40  -12.48880      -1.249099      -12.38286    
          40   2.341451      -1.912506      -13.33949    
          40   8.154881      -7.914897       3.042066    
          40   10.04031       8.945601       5.757068    
          40   7.039072      -6.226436       4.738381    
          40   7.293910       9.720128      -3.551779    
          40   6.256143       4.891776       13.54888    
          40  -7.123029      -2.982424       12.35588    
          40   4.012641      -2.283085       6.588721    
          40  0.8537459     -0.1002458       1.869881    
          40   13.10633      -6.863603       12.21502    
          40   8.543122      -5.342157      -5.474342    
          40  -5.101927      -2.651157       5.936745    
          40 -0.3961442       10.02404      -7.683933    
          40  -7.152180       7.990988      -8.131843    
          40   7.669685      -5.305711     -0.9381202    
          40   5.533232      -6.547096      -4.260336    
          40  -13.68159       10.19211      -12.81779    
          40   3.659045      -1.749245     -0.1617465    
          40   6.546212       7.235897      -8.564587    
          40   12.77617       9.063910      -3.237653    
          40   6.153943       9.042845       9.007880    
          40  -2.590608       4.273937      -12.88743    
          40   11.43217       6.975066      -11.46307    
          40   12.31158      -9.315966       9.243921    
          40   2.270553       5.158438      -8.172036    
          40  -12.76700      -9.966344      -7.810442    
          40   6.325335      -7.332687      -1.290666    
          40   7.179921      -13.58541       8.434856    
          40  -1.973413      -13.28153       5.493343    
          40   11.24088       10.94448       10.24084    
          40   5.713583       1.626094       10.58628    
          40   2.915542      -9.774597      0.1482278    
          40  -12.90866      -4.295547      -3.328867    
          40  -6.173270       8.118921      0.2137473    
          40   6.786436       11.69559      -3.689310    
          40  -7.912546      -2.746979       1.949248    
          40   7.179765      -11.09526     -0.6695598    
          40  -11.11469      -8.310121       7.831350    
          40  -13.57648      -9.569645      -1.490930    
          40   11.66173       3.378236      -10.93215    
          40  -5.847087      -2.336782      -3.059700    
          40  0.5486119      0.2673842       9.311129    
          40   12.01783      -8.803451      -3.494268    
          40  -10.79418      -5.904458       4.264926    
          40  -1.131513      -13.27665       12.79933    
          40  -10.47638      -2.374049       5.403020    
          40   10.57500       1.705397       9.221854    
          40   8.945201       3.335682       11.93032    
          40   4.759694       7.887142       8.691722    
          40   11.09970       10.46456       13.79665    
          40  -1.404133      0.2019496       10.41905    
          40  5.6905970E-02  -13.58499      -7.527442    
          40   13.24815       3.303999      -2.649227    
          40   1.600056       2.822518       7.783623    
          40  -1.708925      -12.61088     -0.4502183    
          40  -12.53662       12.42199      -12.92404    
          40  -5.646872      -4.357853       9.089709    
          40  -12.91101       10.59760       11.57213    
          40  -13.19129       7.415248      -13.33743    
          40  -1.698321      -7.074046      -3.120781    
          40   12.62337       5.568597       9.196108    
          40  -6.556733       11.24822      -7.868847    
          40 -0.7209485      -4.243197      -10.06693    
          40  -1.988018       7.224538       1.329977    
          40  -6.661403       6.860964       4.090194    
          40  -11.60271      -6.433306       6.584252    
          40  -13.81003      -9.762024      -5.451803    
          40   2.432331       9.594587      -7.916461    
          40   6.044164       4.575239      -2.538679    
          40  -12.42167      -13.53074       2.939274    
          40   12.51980      -14.13171       3.618435    
          40   1.719218      -3.048714      0.5016509    
          40   1.632902       5.931847       13.18909    
          40   1.061313       2.463433       5.322447    
          40  -8.308028     -0.7039132     -0.7334011    
          40   4.661572       9.455032       11.30859    
          40  -9.228108      -13.86093      0.9917099    
          40  -8.022988       11.43585       13.74133    
          40  -13.76908      -7.692439       13.10417    
          40   5.918452      -10.60047       1.749786    
          40   8.697631      0.5028636      0.7755595    
          40   4.959984       13.05174       1.519428    
          40  -9.672456       7.699560       12.50461    
          40  -8.999436       9.928481       3.574839    
          40  -8.154942       1.335324      -12.22169    
          40   5.736897      -2.409291      -11.68752    
          40  -1.204020       7.858604      -7.224903    
          40  -2.846774      -6.403514      -12.90376    
          40  -6.792693       4.065238       1.001058    
          40  -9.306348       12.62615       13.36502    
          40 -0.7150520       6.041475       11.25270    
          40   4.179681       10.84442      -6.546330    
          40  -5.023866      -7.879330     -0.7675304    
          40  -8.564907      -12.67724      -11.30795    
          40  -12.21430       1.929905       13.17622    
          40  -1.429125      -6.061646      -9.044994    
          40  -3.945054       8.786756      -7.238703    
          40  -8.408937       9.933411       10.72645    
          40  -7.181909      -3.990971       3.453254    
          40  -6.279123       9.470036       5.234688    
          40   5.793933      -8.254215      -6.416530    
          40   10.85493      -2.505324       4.744653    
          40  0.2113676      -11.00324      -7.233566    
          40  -7.287648       4.712096      -4.598038    
          40   7.468031      -3.598389      0.1438593    
          40   10.77270       7.147540     -0.7351525    
          40  -3.469796      -1.542252       12.44928    
          40   8.744902     -0.3365173       10.86623    
          40   2.568907      -6.640516       3.253041    
          40   9.083395       2.970293       6.544831    
          40  -4.658532       1.006246       11.05107    
          40  -5.055417       7.036800       4.872443    
          40  -5.388057      -10.50077       8.122333    
          40   11.31213      -3.761464      -13.75795    
          40  -6.399949      -5.818520       3.023863    
          40   4.959204       5.983017      -4.050307    
          40  -6.988233      -13.44621      -6.552451    
          40  -2.785315      -2.146887       2.136674    
          40  -11.86596       8.361732      -8.665654    
          40  -5.523747       1.020855      -11.09398    
          40  -13.66080       5.921091       2.699853    
          40  -2.373442     -0.4919997      -4.686881    
          40   13.64615      -11.56416      -9.869742    
          40   8.823934       13.19141      -4.159151    
          40  -6.731520       13.46877       1.735432    
          40   9.637700       7.043265       12.16255    
          40   13.32852      -2.407699       12.48615    
          40  -8.920264      -4.548999      -8.069848    
          40   9.324732       9.167479      -8.099061    
          40  -3.609679       8.122094       5.381141    
          40   12.47761       11.96216       8.670981    
          40   9.810267       1.666334      -6.161527    
          40   7.554748       2.014463       8.674954    
          40   8.285954       12.69516      -2.049333    
          40  -14.01402      0.6613261      -4.153242    
          40  -6.783575      -11.94484     -0.5217720    
          40  -7.542521      -3.565121      -9.195237    
          40   10.17984      -6.770292       6.042801    
          40   5.145035      -6.247507      -8.969951    
          40 -0.8833227      -2.400551       2.091925    
          40   7.163581      -12.09131       11.26243    
          40   4.315775      -4.127622       1.348442    
          40   7.079930      -3.741102       9.076992    
          40   12.86728       1.311361       4.808493    
          40  -5.488571      -8.532098       3.589666    
          40 -0.9518268      -4.787594       8.538356    
          40   4.213680       10.99363       7.426829    
          40  -1.665442       10.13355     -0.6727124    
          40   8.642100      -4.122067      -10.10596    
          40  -1.400382       5.246067       2.891642    
          40  -9.646288      -4.383219       11.82811    
          40   9.849437      -8.106749      -12.58276    
          40  -6.810507       6.830360       12.27705    
          40  -6.280948       4.048855       2.875243    
          40  0.4845079      -12.51404      -8.940214    
          40   13.69036      -11.46389     -0.5154634    
          40  -5.449934      -9.142745       12.99047    
          40  -6.850953      -8.687088      -1.290025    
          40  -3.945132       4.608688      -9.057595    
          40   14.01083       1.711177      -2.660978    
          40   5.442224       12.69030       13.90205    
          40   4.169309      -6.613855      -2.079710    
          40   2.141756      0.4832173      -13.03891    
          40  -13.74456       5.770917       11.61639    
          40 -0.7974494      0.5055384       6.941275    
          40  -8.282889      -5.765573       3.549774    
          40   4.930032      -13.46961       1.458560    
          40  -10.13348      0.3712478      0.6599852    
          40  -10.99415      -4.908874      -13.62848    
          40   1.171438      -2.169945       7.842074    
          40  -2.465805       7.261274      -10.58757    
          40  -10.33459       10.09468      -8.314602    
          40  -5.478294      -3.731849      -9.805264    
          40  -12.74989      -1.219659     -0.3705004    
          40   10.48923       1.597507       14.06232    
          40  -7.220073      -6.643978       10.04609    
          40  -12.38220       7.097919       11.25451    
          40  -2.849634      -12.85101       1.297619    
          40 -0.8794463       8.233659      -11.95123    
          40   9.135665      -7.862124      -6.085968    
          40  -4.826875       13.72156      -12.72927    
          40   2.852851       9.726176      -6.112782    
          40  -2.463161      -8.789755       10.69989    
          40  -6.228257       10.91198      -10.19814    
          40   3.359232       7.729347      0.2370850    
          40  -2.230692      -1.067643      -7.031841    
          40  4.8534602E-02  -8.247090       9.053423    
          40  -4.651592      0.9351034      -12.69011    
          40  -1.043962       12.94603      0.4773670    
          40  -2.643870      -7.942589       2.519849    
          40   3.380732      -8.954691       13.32428    
          40  -12.72388      -5.717151      0.2347115    
          40   12.72999       2.089046       12.49636    
          40   6.454771      -13.05975      0.3197092    
          40   4.432406       10.28613      -9.880988    
          40  -2.804127       13.10883       14.00698    
          40   4.497133      -10.76896      -4.211247    
          40  -10.87131     -0.4695530      -12.55698    
          40  -12.44176      -8.865282       6.534949    
          40   11.69391      -10.00098       7.345002    
          40  -5.086100      -2.010552      -5.017709    
          40  -1.245456      -2.333716       12.61695    
          40  -3.377622      -11.16456       9.987159    
          40   6.114941      -9.772187      -3.208782    
          40   4.683858      -7.696523       14.02090    
          40  -3.343457      -6.010432      -3.821781    
          40  -5.677375       5.642372       10.54257    
          40  -9.505061       7.567730      0.9607800    
          40  0.3760421      -3.723796      -3.681616    
          40   1.047050       1.973979       3.089790    
          40  -5.559418       12.52880      -10.73701    
          40   11.87824      -9.651356       11.69271    
          40  -2.202428      -2.819922      -4.523305    
          40   1.750654       10.67642      -3.960486    
          40   6.815834      -6.623599      -13.39906    
          40   11.03414      -9.611978       13.61349    
          40   12.45872      -5.935721       9.063818    
          40   3.658304      -1.226830       13.41669    
          40   8.077258      -6.664003       11.84820    
          40   2.404282      -4.216139      -5.257214    
          40   1.079660      -7.856588      -5.976241    
          40  -3.908247       9.153995       9.269350    
          40  -12.80445      -12.32597      -1.033375    
          40   8.065246       1.424115      -7.560979    
          40  -7.590971      2.3944244E-02   2.559858    
          40   5.508699       8.714864      -1.019391    
          40   3.636656      -8.815894      -8.925957    
          40   11.57335       8.050139      -5.274123    
          40   10.67080       9.820075      -6.355999    
          40   11.83192      -11.51475      -8.238425    
          40  -11.75368       4.501680      -10.51898    
          40  -5.091482      -1.866587      -7.426075    
          40  -9.966536      -13.15478      -6.304111    
          40   6.935873       1.834991      -9.244943    
          40  -2.581604      -9.595920      -2.608970    
          40   8.686567      -12.01453       9.982781    
          40   11.82650       9.224854       8.579206    
          40   11.83626      -11.00297      0.1664082    
          40  -4.038385       9.484923      -3.737459    
          40   12.67208      -11.06424      -11.42140    
          40   1.643379       12.78753      -1.267679    
          40  -9.285089      -10.87839      -9.848842    
          40   10.04850      -11.05391      -8.078753    
          40   10.44531      6.4316601E-02   11.34698    
          40  -1.943102       8.993877       1.122639    
          40  -6.949656      -13.09626      -10.07903    
          40   4.308320      -6.474221       2.498681    
          40  -2.757497       10.84330       8.637777    
          40   1.223443      -9.371564       4.653481    
          40  -13.54292      -13.65518       7.930625    
          40   3.350541      -9.331162      -3.074261    
          40  -7.814448      -7.579952      -12.09177    
          40   13.37321       6.545670       5.366993    
          40  -9.066875       3.311029       3.567422    
          40   3.247603      0.2968833      -1.856292    
          40   11.90677      -1.745350      -12.96169    
          40   12.93149       13.45409      -6.537892    
          40  -4.568060      -13.82363       6.644565    
          40  -4.494682       13.34390     -0.8977659    
          40  -4.727809       10.43046      -13.93845    
          40  -14.12481       2.842433       4.280529    
          40   1.824239     -0.6493949       10.42233    
          40   4.271291       13.31292       5.114832    
          40  -11.95635       13.38754       7.190341    
          40   13.62846     -0.8795231      -8.394763    
          40   12.02577      -4.423615       7.949037    
          40   10.82662      -11.31952      -12.05025    
          40  -3.016992      0.9661315       12.74222    
          40   9.530777       6.604941       8.183811    
          40   8.907085      -7.547507       1.322374    
          40  -4.588930      -5.142575     -0.8299403    
          40   2.724274       12.23657      -4.413166    
          40   11.78111       11.14243      -7.985048    
          40   5.171172      -12.99562       11.27512    
          40   13.59738       12.07854       13.79778    
          40   1.096236       13.50079      -3.321590    
          40   12.54968       8.706798     -0.3429683    
          40  -5.586455      -4.309220       5.257863    
          40   6.201423       7.684631      -13.35178    
          40   11.52944       3.163560      -4.291037    
          40   6.420881       6.452700       10.41136    
          40  -2.871903      -8.351532      -8.524744    
          40  -6.728202      -12.03033      -2.501075    
          40  -13.77441      -6.072450      -10.77203    
          40  -8.081017      -3.889473       10.72237    
          40   11.34070      -2.216148       7.516648    
          40   7.495061      -6.172425      -10.72029    
          40   8.185884      -9.342399      -9.286070    
          40   10.28516       13.35986      -5.384273    
          40  -6.674828       9.466748      -3.617354    
          40  -12.39359      -7.692574      -8.909591    
          40  -6.091718       3.244177       7.404922    
          40   7.240373       2.437795       4.855192    
          40  -11.57246       13.97791       4.785147    
          40   12.45261      -11.52939       3.963816    
          40   5.117297      -7.918163       4.717784    
          40   4.429996       1.024101      -3.385869    
          40  -5.101244      -11.45504     -0.8955730    
          40  -13.29803      -2.222062       13.26637    
          40   14.12321       2.875358       9.951944    
          40  -12.46757      -1.778930       3.173939    
          40  -5.809380       13.67117      -3.736891    
          40   6.032931       2.544198      -3.234793    
          40  -5.583423       2.006465       1.997673    
          40  -12.88274       10.38741       7.822953    
          40  -3.151425      -6.622235     -0.7841137    
          40   7.142305      -10.81189       8.674970    
          40   8.073721       12.44095      -10.65482    
          40  -4.433156       11.52617      -1.712064    
          40   9.789344      -13.70986       1.053317    
          40  -2.417922     -0.7077687       6.367549    
          40   7.422617      -8.298756       5.659340    
          40  -9.138247       12.64962       11.07518    
          40  -1.868329      -12.65236      -9.276552    
          40  -5.216383       13.59106      -6.120292    
          40 -0.3859152      -10.16754      -2.700629    
          40   2.832491      -5.055110       4.846944    
          40  -5.358131       13.57255      -9.023968    
          40  -1.669049       8.356612       11.71181    
          40  -10.14040      -9.940214      -12.50356    
          40  -1.384439      -1.590273       10.25039    
          40   7.724168       9.358797       1.153197    
          40  -3.605924      -12.74655      -2.870491    
          40   6.125182      -9.108873       11.81022    
          40  -7.921790      -10.44756       8.911878    
          40  -10.41292       9.533412       1.810703    
          40   5.182723      -13.91499       8.439034    
          40   1.002475       8.930354      -5.521865    
          40  -7.674036      -1.537111       7.166155    
          40  -7.832087      -10.15447      -13.37169    
          40  0.4190127       11.94078      -10.64316    
          40  0.3742476      -4.980719      -8.565467    
          40   14.13303       3.976275      -13.34665    
          40   9.861911      -2.848939      -10.23421    
          40   12.58169      -2.399985       10.20766    
          40  -8.753215      -10.74203      -5.981748    
          40   6.610239      -2.926630      -1.265586    
          40  -2.244047      -3.554996       14.09118    
          40   9.068819      -9.771222      -6.952086    
          40  -9.010016     -4.1956529E-02   5.956795    
          40  -12.75828       10.76750      -7.678205    
          40  -8.519261      -7.825881       14.07965    
          40   1.671765      -7.344886      -12.26669    
          40   8.946078       5.932703       4.578601    
          40  -10.86086      -2.480776       12.11563    
          40   5.781992       5.075852       8.224803    
          40  -12.64445       12.28192      -10.67348    
          40  -8.956553      -3.480016      0.3432052    
          40   8.064793       11.21226     -0.6629239    
          40  -13.74679     -0.6754367      -5.822432    
          40   7.035717      0.6204509      -13.42476    
          40   9.901765       1.832960      -1.159867    
          40  -4.758781       6.598840      -2.419481    
          40  0.8959263       4.493848       8.495826    
          40  6.7368507E-02  -13.21573       3.521874    
          40  -3.060068      -6.035189      -6.953926    
          40  -6.444750       12.96847       4.683537    
          40  -13.71194       7.054578       7.136158    
          40   10.41488       3.740062       1.603611    
          40   1.253125      -2.675255      -6.604990    
          40   7.680599      -9.963742       11.22221    
          40  -9.414514       7.058598      -7.335664    
          40   7.366717      -3.571143       11.29243    
          40  -11.90891       6.136434       6.128700    
          40   9.779924       6.138088       2.738437    
          40  -9.258964       3.272684       1.405400    
          40  -4.849212       9.390119      -1.763606    
          40  -12.19054      -9.978091      -4.046655    
          40   9.180548      -10.02908       7.048911    
          40   12.32356       5.178465      -3.364906    
          40  -13.91607      -7.566639       7.191747    
          40  -7.539752      -1.835008      -12.28444    
          40  -9.766074      -7.968266      -6.633866    
          40   7.472001       4.198287      -8.883990    
          40  -11.54805      -6.480712      -10.32288    
          40   14.10349       2.110458      0.5795363    
          40   3.101915      -11.40129      -13.42173    
          40   10.57446       2.841000      -7.931932    
          40   13.71400       9.497998      -5.941788    
          40  -9.167420       1.872887      -4.241479    
          40   5.596445       7.459825       6.459383    
          40  -8.647300       6.185899      8.5361660E-02
          40   2.054991       7.236473       4.803664    
          40  -3.338326       9.076994       3.792623    
          40  -8.734341      -13.31556      -13.79762    
          40   6.862846      -10.00362       5.396309    
          40  -5.627941      -4.589989      -4.434542    
          40  -8.277518       1.466771       13.50031    
          40  -10.14873      -12.50431     -0.7041087    
          40   5.711828       2.537163       7.457653    
          40   10.23983      -10.12032      -1.395327    
          40  -1.886315      -3.850322      -11.79535    
          40   7.234242      -14.05953       12.28944    
          40   5.932003      -3.388628       1.513077    
          40   3.017096       10.13100     -0.5365717    
          40  -10.45168       6.568727      -1.353461    
          40   11.80005       1.060725      -9.785564    
          40 -0.9449191       3.235145      -1.607868    
          40 -0.6523556      -9.321578       11.30886    
          40   8.216689       12.51056      -7.096246    
          40   6.578874      -13.42974      -3.223767    
          40   13.20908       5.408582      -9.521698    
          40  -6.178266       11.97550      -5.841621    
          40   8.391013      -1.114916      -3.405249    
          40  -13.96340      -1.405939       5.532115    
          40  -3.976415       6.342060      -6.936677    
          40   8.072107      -6.641906      -2.938007    
          40  -1.720052      -8.015182       6.672743    
          40   7.234394      -10.63464      -4.892404    
          40  -1.317839       6.465217      -11.83617    
          40   3.112120      -3.562518      -11.38857    
          40  -11.44901      -2.987236      -2.318845    
          40   7.057153      -9.514800      -6.482905    
          40   2.082129       6.599114       9.847172    
          40  -3.938825      -11.26290       12.69606    
          40  -10.68031       10.37105      -1.818413    
          40  -10.52406       10.44474      -10.47927    
          40   4.730300      -11.94377      -12.93649    
          40  -9.656689      -5.941398      -9.350961    
          40   12.29311       6.858152       2.880085    
          40   11.12152       6.550596       4.878636    
          40  -6.313477      -8.821911      -11.66109    
          40   4.964291      -4.945375      -1.629297    
          40  -5.181325       11.36151       4.508811    
          40   5.079813       5.155299      -7.406245    
          40   8.823403     -0.9376229       8.532854    
          40  -1.964609      -11.89967       3.767371    
          40   10.43353       4.843139      -2.101554    
          40  -11.93807      -7.450954      -13.11147    
          40  -14.03566      -7.079120      -8.158978    
          40   12.64705      -4.143670       11.35826    
          40   7.690177      -7.948363      -7.469291    
          40   9.808788       13.85435       5.785585    
          40  -11.16988      -6.206927      -6.874599    
          40  -13.49162      -13.28910      -2.529426    
          40  -10.86963       5.412219       10.74798    
          40   2.524451      -13.75769      -10.10048    
          40   8.422857       7.020467      -7.572852    
          40   6.879442       6.515054       3.899694    
          40  -12.77565      -5.059600       2.843123    
          40   9.019786      -2.015896      -5.982494    
          40   4.228388       10.94354      -2.368308    
          40  -2.486819       5.452907      -8.470127    
          40  -13.41207       13.16690       9.908991    
          40   1.266576      -11.52256       5.184772    
          40 -0.7774695       8.931762      -2.862274    
          40  -11.31581      -12.83031      -3.423869    
          40  -13.89205       4.466082      -4.788268    
          40   8.331300       5.843586       11.09519    
