 updated model
   28.28427       28.28427       28.28427    
          29  -10.73234      -9.061596      -10.70826    
          13  -8.183092       13.58364       9.599058    
          13   11.41693      -7.641438      -6.180341    
          13  -11.50813      -11.38922      -11.98847    
          13   13.83566       10.62686       9.368403    
          13  -8.726510      -14.09655      -11.45558    
          13  -8.103308      -9.675277       11.76481    
          13  -6.900899      -9.723165       13.72463    
          40  -6.303803      -12.90772      -9.196312    
          40  -4.245159      -7.194440      -11.40490    
          29  -6.662996      -12.21726      -13.06565    
          29  -7.629727       14.08539      -7.571345    
          29  -1.957690      -7.594995      -12.65409    
          13  -8.511215      -11.71198      -10.79790    
          13  -2.949067      -11.56515       12.69266    
          13  -5.105086      -13.62301       12.37391    
          40  0.5423364      -10.32309      -8.883906    
          29   2.207536      -7.966968      -11.99499    
          29  0.4232561      -9.664252      -11.26535    
          13  -2.686877      -9.885281      -11.30411    
          40   1.196136      -12.55982      -11.37027    
          29   5.918232      -12.28454      -8.451663    
          13   2.324859       9.026628       10.61641    
          13 -0.8397840      -11.25751      -12.43579    
          13   3.962146      -10.99754      -8.251210    
          40   4.971857      -13.91045      -10.60859    
          29   14.12133      -10.37788      -12.16675    
          13   1.821089       13.51071      -10.34147    
          13   3.885000      -11.58957      -10.97180    
          13   7.572184      -14.05233       12.31029    
          40   12.58063      -13.91927      -9.495122    
          29   12.31888       13.57700      -6.652387    
          29  -12.26901       10.85525      -10.53308    
          29   6.086525      -12.88017      -6.192235    
          13   11.92479      -12.97623       13.34996    
          13   9.593216      -6.493223      -11.29905    
          13   11.93034      -10.62320       11.46557    
          13   14.02322       13.91452       13.60014    
          40  -10.12318      -5.989090       14.01263    
          29  -10.24263      -6.383423       11.67613    
          13  -7.005992      -5.782043       13.78703    
          13  -8.897580      -4.962897      -7.554349    
          13  -13.03216      -13.57361      -8.697025    
          13  -9.158504      -1.989235      -8.931466    
          40  -5.040507      -6.542803      -4.880558    
          40  -6.164952      -7.809093       12.71192    
          29  -7.436087      -10.09793      -12.21248    
          13  -4.774137      -12.15961      -11.27950    
          13  -7.679843      -2.244096       12.81914    
          13  -4.449031      -5.720556       11.95349    
          40  -3.153998      -3.881109       12.90878    
          40 -6.0984880E-02  -3.578060      -10.12737    
          40  -4.664371      -11.12463      -13.46000    
          29  -4.374465      -8.815281      -13.01381    
          29   3.183063      -11.21673       11.15709    
          29 -0.8294834      -4.429759      -12.44946    
          29   2.589473      -10.76768      -12.88017    
          13  -1.720681      -6.023416      -10.87121    
          13  -9.109846      -7.313070      -12.49386    
          13 -0.9492050      -3.265819       13.53967    
          29   2.622050      -6.223651      -10.10299    
          29   4.511648      -4.806805      -10.05676    
          13   2.226426      -5.372694      -12.30017    
          13  0.1235378      -7.467243       13.70457    
          13   6.725808      -3.116960      -13.78052    
          13  0.4018875      -5.894840      -9.658185    
          13  -1.123260      -8.659595      -9.753173    
          13   5.155449      -10.12836      -12.23516    
          13  0.1435670      -6.689447      -12.25774    
          40   3.365933      -8.901903      -9.974112    
          40   4.870221      -7.012852      -8.914228    
          13  -13.54061      -12.48767      -10.63294    
          13   5.143597      -4.791977      -7.340113    
          13   11.49298      -2.549208      -9.821090    
          40  -12.03481      -11.62561       14.04041    
          29  -12.19895      -7.423815      -12.36638    
          13   11.07850     -0.7132107      -6.817981    
          13   7.693367      -1.821943      -11.73700    
          13   8.872975      -7.399782      -13.31853    
          13  -9.923182      -4.456333      -9.633863    
          29  -10.37644      -3.780766       13.06110    
          13  -11.10302     -0.4526890      -10.83875    
          13   12.00053      -8.740639       7.510095    
          13  -8.986581      0.3539120      -9.280107    
          13  -13.93417      -6.459207      -14.00966    
          13   11.85395      -7.808705      -9.792637    
          40  -6.407435      -2.482051      -11.88435    
          29  -5.084636      -5.293124      -13.29486    
          29  -3.005823     -0.2852585      -13.68468    
          13  -7.174037     -0.5675169      -10.35044    
          13  -8.587567      -3.950513      -13.31143    
          29  -4.584366      -3.679736      -8.974725    
          29  -1.519390     -0.9000157      -11.95339    
          29  -4.009815      -1.150280      -11.44835    
          13  -2.458786      -3.088257      -9.655107    
          13  -1.308635       1.512481      -12.66801    
          13  -2.374036     -0.7197886      -9.775214    
          13  -3.459846       1.137171      -11.23893    
          29   3.651105      -2.825126      -9.019491    
          29   6.207494       2.971390      -11.67387    
          29   2.330296      -3.885893      -10.53758    
          13   2.328015      -1.652333      -11.60412    
          13  0.7954748     -0.2069403      -10.55614    
          13   2.706873      -4.507007      -7.234851    
          13  0.3994631      -1.442109      -13.34625    
          13   4.001540      0.5503727       13.17564    
          29   5.873553      -2.993175      -9.494676    
          29   5.198895      -1.693184      -11.42384    
          29   4.222164      0.6634002      -12.76222    
          13   9.035583      -2.185317       14.07546    
          13   9.689739      -4.235762      -10.63187    
          13   7.491120     -0.3177672      -13.58340    
          40   9.782990     -0.7831366      -12.00728    
          29  -12.53848      -5.213980      -11.11118    
          29   11.18765      -3.161471      -7.517880    
          29   13.75086      -6.060452      -9.833928    
          13   11.31151       4.026617      -10.31945    
          13   7.707122      -5.932850       13.46849    
          13   12.20573      -5.265567       13.60428    
          40  -13.36354       3.242740      -5.269668    
          29  -10.30671       7.411767      -12.73933    
          29  -8.880532       9.543990      -12.48677    
          29  -12.35640       3.394525      -11.30382    
          29  -11.83428       3.392897       12.46912    
          13  -10.69733     -0.4210405      -13.15916    
          13  -11.99166      0.9471225       12.79488    
          13   13.15022      -1.003360       13.78324    
          40  -4.913643     -0.2494445      -9.391291    
          29  -9.290498       3.195314      -12.27413    
          29  -4.071973       3.992248      -11.74771    
          13   13.71304       2.672172      -11.59519    
          13  -9.977368       6.083308      -10.70637    
          13  -8.431611       1.940765      -6.193918    
          13  -6.131639       1.644950      -10.80021    
          13  -5.203827     -9.8763548E-02  -13.12813    
          13  -8.388787      0.7048499      -12.01567    
          29 -0.8034592      0.7254531      -8.367714    
          29 -0.8959527       3.198183       13.33662    
          13  -3.968052       2.066212      -8.900801    
          13  -2.113879       3.921700      -13.05234    
          13   3.996467       3.631319      -11.91085    
          13  -5.100248       4.261114      -9.496305    
          13   1.489226       2.145252      -10.40911    
          40   4.856992       5.766010      -11.58911    
          29   1.453199       1.096954      -12.58800    
          29   4.193577       5.329894      -7.313832    
          29   7.481684       1.928242       14.02493    
          29   1.781240       5.388658      -12.43512    
          13  0.9786999       7.131892      -11.14634    
          13   6.732786       5.481931      -13.13839    
          40   9.934472      0.3463215      -14.10468    
          29   10.01967       2.544017      -12.85691    
          13   13.67271       3.170075      -7.233856    
          13   6.261852      0.4748493      -11.60663    
          13   6.492753       3.195196      -9.352203    
          13   9.379337       5.096939      -11.32243    
          29   11.04384       6.412725      -9.970201    
          29  -11.89559       5.817875      -9.460512    
          29   12.23150       1.210833      -8.933477    
          29  -13.11242       5.073262       11.57248    
          13   9.807488      -1.010383      -9.539225    
          13  -13.16275      0.8065230      -13.34274    
          13   8.397592       1.609270      -11.01258    
          40  -11.44577       6.387536       13.51692    
          29  -10.46349       10.93127      -8.981190    
          13  -11.34996       6.943456       10.73476    
          13  -10.75632       9.045910      -10.77348    
          13  -13.37067       9.835648      -12.81636    
          13  -7.820668       7.217009      -11.09180    
          13  -10.52530       11.28417      -12.00730    
          40  -4.886416       6.092521      -12.91476    
          29  -2.084237       12.10371      -11.07048    
          29  -11.97262       4.966683      -13.07304    
          13  -5.933176       9.911428       12.36036    
          13  -7.234742       4.932302      -11.82622    
          13  -11.05004       2.335056      -13.76011    
          13  -8.858115       5.400753      -13.93132    
          13  -6.031687       2.199611      -13.22135    
          29  -1.227966       3.765316      -8.616650    
          29  -6.131187       6.492199       12.78649    
          29  -2.014674       6.694487       10.91309    
          13  -3.740041       2.000413      -13.56326    
          13  -5.269784       8.673178      -14.04031    
          13 -0.4810321       5.513508      -12.64078    
          13  -3.954985       12.17539      -12.45942    
          13  -1.079002       7.789438      -9.283073    
          29   3.082451       7.126372      -13.62191    
          29   4.894134       8.752014      -13.90749    
          13   1.306652       5.013124       13.38064    
          13   6.204456       7.833914      -11.92121    
          13  0.1859978       4.697981      -10.28960    
          29   6.511963       9.561114       12.01855    
          29   7.956110       9.439614      -11.82349    
          29   11.04326       1.425749      -10.89854    
          13   7.476791       8.869689      -14.04535    
          13   8.400802       7.255739      -12.60836    
          13   10.50406       10.46492      -10.95380    
          13   7.871042       7.273147      -9.862900    
          13   9.317638       1.505679       11.71996    
          29  -12.69766       11.80279       14.02164    
          29   13.50481       4.142760      -9.302516    
          13   9.061831       14.06014      -13.60339    
          13   13.05849       7.429327      -9.377107    
          13   13.86139       6.061947      -7.510644    
          13   6.238730       11.23959      -13.29840    
          40  -9.365545       13.76064       12.22087    
          29   12.73823       11.56131      -10.69376    
          29  -10.73682      -9.297751      -13.15813    
          29  -10.98358      -13.84580      -10.72274    
          13  -13.21210      -9.502021       13.96460    
          13  -7.602810       10.98004      -10.95848    
          13  -11.88480       13.43596      -12.69727    
          13  -6.407263       9.550255      -9.596387    
          29  -3.240128      -13.66745       8.174273    
          29  -1.674384       13.55411      -13.10962    
          29  -8.163330       12.30908      -12.94488    
          29  -6.307776      -11.92434      -6.855040    
          13  -10.45051      -13.02651      -13.17925    
          13  -9.390278       9.534170      -7.269360    
          29   1.026048       13.69760      -12.71235    
          29  -4.906715      -13.74281      -13.21155    
          29  -6.309051       10.83261      -13.20433    
          29  -1.983818       10.09714      -8.314037    
          29  -3.645658       9.918184      -12.28779    
          29  -5.914063       12.54623      -8.635063    
          13 -0.9705215      -13.95481      -10.55873    
          40  0.6153262       10.81374      -14.06037    
          29   1.774738       7.691279      -8.475586    
          29   5.326284       6.748791       13.09129    
          29   1.352722       10.55946      -8.736407    
          13   3.319305       8.218239      -10.97893    
          13  0.1942679       11.73208      -11.72992    
          13   2.468944       8.775742       13.00102    
          29   4.505166       12.61489      -12.43750    
          29   13.03878      -13.01078       11.04504    
          29   10.60533       6.633427      -13.00941    
          29   4.096879      -13.83147      -8.351306    
          13   6.491701      -11.26623      -10.72009    
          13   4.745838       12.38931      -9.291834    
          13   5.107491       9.846171      -11.70729    
          29   11.08906       12.63151      -9.364597    
          13   12.41396      -11.84748      -11.26682    
          13   8.836185       13.39870      -8.575267    
          13   10.77650      -13.52996      -7.856903    
          13   11.28633       8.950389      -12.89318    
          13   13.91142      -11.82955       13.24755    
          29  -10.61798      -11.32761      -9.884456    
          29  -8.434724      -10.23005      -1.926158    
          29  -5.908768      -12.10161      -4.581128    
          13   9.508870       12.44963      -3.089148    
          13  -13.88993       11.34561      -5.775558    
          13   11.77720      -12.54064      -5.168729    
          13  -12.03689      -7.218271      -9.866146    
          29  -10.20680      -9.505004      -8.518361    
          29   11.67109       13.36208      -4.354493    
          29  -3.100544      -12.36266      -9.274467    
          13  -5.850749      -13.90677      6.5165818E-02
          13  -13.84745      -12.75603      -4.410835    
          13  -4.694528      -13.87186      -6.990811    
          13  -2.626388      -12.53006      -13.09643    
          13  -9.735642      -13.30813      -8.328403    
          13  -6.436777       9.535836      -6.815195    
          29   1.853305      -11.27920      -6.920625    
          29  -2.528824       13.45112      -7.751354    
          13  -1.695334      -10.33275      -7.799034    
          13  -3.976982       13.64094      -9.775064    
          13  -8.457853      -12.58933      -5.644526    
          13  -3.874753       11.42728      -8.758167    
          13  -5.941566       12.49200      -6.297409    
          13  -1.576421      -9.256318      -5.665020    
          40   3.355716      -11.43778     -0.9926857    
          40   5.263226      -10.07304      -6.462853    
          40  -2.373465      -11.26095      -4.838912    
          29  -2.606109      -13.46283      -5.927077    
          29   5.879054      -11.67666      -3.873725    
          13 -0.1811813      -12.52388      -5.526346    
          13   6.276972       12.05365     -0.2387152    
          13   1.695959      -13.32766      -8.480147    
          29   9.534894      -13.48892      -4.407226    
          29   8.039345      -12.88052      -7.856864    
          13   7.040610       13.97547      -4.000124    
          13   12.40212       11.20735      -7.147816    
          13   8.663471      -6.558982     -0.7356315    
          13   6.509745       13.55507      -8.357165    
          40   13.42714      -12.82884      -7.379639    
          29   10.76183      -11.23894      -2.903261    
          29   4.482742       13.64528      -5.221786    
          29   9.299661      -12.19791     -0.7410399    
          13  -13.28843       13.67783      -5.730943    
          13   10.97357      -11.31043      -9.019932    
          13  -11.70273       12.69187      -7.893607    
          13   13.82185      -8.783570      -2.229036    
          13   13.76172      -5.402063      -5.568993    
          13  -10.62266      -11.28378      -6.867947    
          13  -12.99475      -9.286576      -9.877724    
          13  -8.814164      -5.361507      -4.655346    
          29  -8.240684      -5.119235      -11.28446    
          13  -9.775973      -6.774907      -10.01846    
          13  -5.115917      -9.703089      -10.98432    
          13  -8.156690      -9.191376      -9.682364    
          13  -7.229548      -6.403955      -9.182384    
          13  -7.928623      -11.22588      -8.580131    
          13  -6.495575      -4.078394      -7.289344    
          29  -6.078288      -9.821352      -8.503554    
          13   2.037787      -9.218120      -5.722142    
          13  -3.824030      -10.24776      -8.747658    
          13  -4.269431      -4.159930      -6.623014    
          13  -5.176154      -7.886727      -9.406359    
          13 -0.3890116      -5.800302      -6.295120    
          40 -0.9663094      -7.400346      -7.817595    
          29   3.407490      -6.507349      -6.067523    
          29   1.286211      -6.748609      -7.613068    
          29   3.897329      -12.21453      -6.272592    
          13   2.587986       12.65895      -8.342772    
          13   4.706485      -6.633098      -3.359766    
